t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
55,post_drift,jeffreys,0.0017045454545454547,0.974,0.005291438642098955,0.092,0.0004121843068129234,0.005703622948911731,2.2746344201202225e-07,4.940882235855656e-06,0.005291438642098955,3.188801957410602e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
56,post_drift,jeffreys,0.0017272727272727275,0.9693,0.0053578792276382185,0.0987,0.00042991150137072076,0.005787790729008809,2.4111002602103094e-07,5.042232435373076e-06,0.0053578792276382185,3.222365639295941e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
57,post_drift,jeffreys,0.00175,0.9692,0.0053961498658387785,0.1029,0.00044130292014936883,0.0058374527859880055,2.4737737142966474e-07,5.119723960616658e-06,0.0053961498658387785,3.263119278827154e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
58,post_drift,jeffreys,0.0017727272727272728,0.9665,0.005417406646038868,0.1029,0.0004453327010605445,0.0058627393470992535,2.519195920390639e-07,5.106525759316517e-06,0.005417406646038868,3.235972411648174e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
59,post_drift,jeffreys,0.0017954545454545454,0.962,0.00543142890197588,0.1075,0.0004505674302979517,0.005881996332273699,2.619434112384797e-07,5.182214278156368e-06,0.00543142890197588,3.2623433919222144e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
60,post_drift,jeffreys,0.0018181818181818182,0.9649,0.005483813359398113,0.1106,0.0004645803405248829,0.005948393699922853,2.5788267256550443e-07,5.200577468805993e-06,0.005483813359398113,3.2864257050762677e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
61,post_drift,jeffreys,0.001840909090909091,0.9578,0.005497116154369151,0.1138,0.0004682460393400814,0.005965362193709093,2.745108415227608e-07,5.257606253049892e-06,0.005497116154369151,3.277662753979114e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
62,post_drift,jeffreys,0.0018636363636363638,0.9553,0.005534488084047964,0.1199,0.0004812439519070991,0.0060157320359549415,2.802070913199891e-07,5.364061817016022e-06,0.005534488084047964,3.342335695628362e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
63,post_drift,jeffreys,0.0018863636363636365,0.9569,0.0055261811359739055,0.1194,0.00047630719517819563,0.0060024883311519586,2.7682465232414543e-07,5.283898959653641e-06,0.0055261811359739055,3.287963046423435e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
64,post_drift,jeffreys,0.0019090909090909091,0.9522,0.005595241232872952,0.1276,0.0004997037207132736,0.006094944953586082,3.024451742085216e-07,5.498436742723455e-06,0.005595241232872952,3.3772879058312607e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
65,post_drift,jeffreys,0.001931818181818182,0.9876,0.005614930764992233,0.1276,0.0004996666705371636,0.006114597435529257,2.9072283082216834e-07,5.336328388876053e-06,0.005614930764992233,3.283024713656376e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
66,post_drift,jeffreys,0.0019545454545454545,0.9836,0.0056626593713022194,0.1336,0.0005160522413006955,0.006178711612602772,3.1242101475643485e-07,5.490485437716673e-06,0.0056626593713022194,3.339575392351661e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
67,post_drift,jeffreys,0.0019772727272727277,0.9853,0.005644012976132047,0.139,0.0005150487545257482,0.0061590617306576416,3.076135788142872e-07,5.5760641446632296e-06,0.005644012976132047,3.4130574345430455e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
68,post_drift,jeffreys,0.002,0.9834,0.005680275914082547,0.1352,0.0005224949019169066,0.0062027708159993,3.1589842917066203e-07,5.5431087490213145e-06,0.005680275914082547,3.3660530765360875e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
1,pre_drift,cp,0.001,0.9772,0.005372278854165385,0.0228,0.00012007933073747845,0.005492358184902773,5.424796182683388e-08,2.9757135586146727e-06,0.005372278854165385,2.347550817665015e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
2,pre_drift,cp,0.001,0.9802,0.005344979815457405,0.0198,0.00011553899006367509,0.005460518805520999,5.246182592273761e-08,2.9080219417628326e-06,0.005344979815457405,2.3001337616417996e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
3,pre_drift,cp,0.001,0.9784,0.005342825652962905,0.0216,0.00011725875727743542,0.00546008441024025,5.511879026550696e-08,2.9629652059533603e-06,0.005342825652962905,2.3338199860572373e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
4,pre_drift,cp,0.001,0.9788,0.005364725286784534,0.0212,0.00011837358289745536,0.005483098869681909,5.549707166744395e-08,2.9472071631895306e-06,0.005364725286784534,2.3177156900499197e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
5,pre_drift,cp,0.001,0.9836,0.005309883812241912,0.0164,0.00010906133240797626,0.005418945144649814,4.543804473266598e-08,2.7931733839749988e-06,0.005309883812241912,2.237220271314107e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
6,pre_drift,cp,0.001,0.9842,0.0053397618014443754,0.0158,0.00011252268221557332,0.005452284483659862,4.857467361563732e-08,2.8323986325602186e-06,0.0053397618014443754,2.2556907088958653e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
7,pre_drift,cp,0.001,0.9808,0.00532676358327705,0.0192,0.00011596134268604616,0.005442724925963005,5.14576024733214e-08,2.952727047901997e-06,0.00532676358327705,2.341489530770775e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
8,pre_drift,cp,0.001,0.9817,0.0053450876476729406,0.0183,0.0001153185457098207,0.005460406193382678,5.3032285686989364e-08,2.9031268135633726e-06,0.0053450876476729406,2.2945553986872277e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
9,pre_drift,cp,0.001,0.9803,0.005353731267777602,0.0197,0.0001170377075329374,0.005470768975310442,5.179522850762999e-08,2.9260256516227213e-06,0.005353731267777602,2.315391597586339e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
10,pre_drift,cp,0.001,0.9804,0.005345256924762365,0.0196,0.00011540062165752423,0.005460657546419796,5.181319931650165e-08,2.901853583876136e-06,0.005345256924762365,2.2970929396528323e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
11,pre_drift,cp,0.001,0.9819,0.005341652439968635,0.0181,0.00011307865791264628,0.005454731097881188,5.0537288673643096e-08,2.847443265985598e-06,0.005341652439968635,2.259561888270727e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
12,pre_drift,cp,0.001,0.9828,0.005320111216481047,0.0172,0.00011018722240928791,0.00543029843889027,4.9428949003888813e-08,2.810896875097276e-06,0.005320111216481047,2.2345377372410126e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
13,pre_drift,cp,0.001,0.9799,0.005321309292073145,0.0201,0.00011226112188489317,0.00543357041395796,4.856363818472744e-08,2.8601493915140686e-06,0.005321309292073145,2.2770671511932588e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
14,pre_drift,cp,0.001,0.9831,0.0053521830993338015,0.0169,0.00011412113304260112,0.005466304232376326,5.045750146969122e-08,2.853505710480329e-06,0.0053521830993338015,2.2644156357678116e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
15,pre_drift,cp,0.001,0.9815,0.005334395979794933,0.0185,0.00011287879659754108,0.0054472747763924,4.8811977647288215e-08,2.8518732138927887e-06,0.005334395979794933,2.2696750690942237e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
16,pre_drift,cp,0.001,0.9828,0.005308340918503114,0.0172,0.00011128985745446196,0.005419630775957486,4.8214344787317794e-08,2.860689712085282e-06,0.005308340918503114,2.281565710116627e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
17,pre_drift,cp,0.001,0.9802,0.005350935577009002,0.0198,0.00011617011102214603,0.005467105688031065,5.4021512474841385e-08,2.9169231359298843e-06,0.005350935577009002,2.3019329666901915e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
18,pre_drift,cp,0.001,0.9814,0.005365269201072027,0.0186,0.00011555391304933449,0.005480823114121281,5.0383861992262346e-08,2.864869382558577e-06,0.005365269201072027,2.274029867201166e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
19,pre_drift,cp,0.001,0.9825,0.005340296472058222,0.0175,0.0001149889153368417,0.0054552853873949805,5.091165443444442e-08,2.901456580136361e-06,0.005340296472058222,2.3036841324138443e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
20,pre_drift,cp,0.001,0.9807,0.005349638725659167,0.0193,0.00011597035766807,0.005465609083327145,5.2676270043999876e-08,2.912052236821448e-06,0.005349638725659167,2.3044073734290542e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
21,pre_drift,cp,0.001,0.9832,0.005311720226889237,0.0168,0.00010918524387470128,0.005420905470763865,4.651146383515872e-08,2.7938827813367987e-06,0.005311720226889237,2.232437581389053e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
22,pre_drift,cp,0.001,0.9826,0.005356156225392447,0.0174,0.00011454228523287762,0.005470698510625236,5.0001737169546885e-08,2.855698314644769e-06,0.005356156225392447,2.2686593890884895e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
23,pre_drift,cp,0.001,0.9837,0.005337558870198944,0.0163,0.00011099619181383387,0.005448555062012696,4.6346173733447724e-08,2.7901504029849632e-06,0.005337558870198944,2.2286239724832097e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
24,pre_drift,cp,0.001,0.9782,0.005347793147425292,0.0218,0.00011800716324181604,0.005465800310667021,5.4724270429210554e-08,2.972596374290695e-06,0.005347793147425292,2.344111796563804e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
25,post_drift,cp,0.0010227272727272728,0.9788,0.005367619015630029,0.0212,0.00011842058529216645,0.005486039600922111,5.406759263381348e-08,2.9408395834910538e-06,0.005367619015630029,2.3190501437625715e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
26,post_drift,cp,0.0010454545454545454,0.9772,0.0054301352896090095,0.0228,0.0001268826619473711,0.005557017951556276,5.973693896866607e-08,3.0397733160255976e-06,0.0054301352896090095,2.3735911439693117e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
27,post_drift,cp,0.0010681818181818182,0.9752,0.005448074113258319,0.0248,0.0001295140060352235,0.005577588119293445,6.116896916279729e-08,3.0721684450453135e-06,0.005448074113258319,2.394423327612071e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
28,post_drift,cp,0.001090909090909091,0.9941,0.005460076487829777,0.024,0.00013092766177149836,0.005591004149601172,6.07720619418696e-08,3.0813345951904417e-06,0.005460076487829777,2.4029257572998544e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
29,post_drift,cp,0.0011136363636363637,0.9945,0.0055124939150852995,0.0251,0.0001379618255273337,0.005650455740612519,6.367187482105831e-08,3.1482363753910803e-06,0.0055124939150852995,2.4441802942652985e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
30,post_drift,cp,0.0011363636363636363,0.9952,0.005554151317273357,0.0277,0.00014362872228064185,0.00569778003955388,6.74132848692725e-08,3.199549658725769e-06,0.005554151317273357,2.4678764804318275e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
31,post_drift,cp,0.001159090909090909,0.9938,0.005561141381760553,0.0319,0.0001481769538499275,0.005709318335610357,7.368708223482601e-08,3.3147277210688865e-06,0.005561141381760553,2.5379229144132815e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
32,post_drift,cp,0.0011818181818181819,0.9922,0.0056314390360795745,0.032,0.0001577172050122452,0.005789156241091695,7.711326444162383e-08,3.38368121031015e-06,0.0056314390360795745,2.5750188489195852e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
33,post_drift,cp,0.0012045454545454547,0.9915,0.0056711810493154215,0.0365,0.00016290707154357004,0.005834088120858855,8.246183222297356e-08,3.422457143456921e-06,0.0056711810493154215,2.583709813861658e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
34,post_drift,cp,0.0012272727272727272,0.9914,0.005698149389582276,0.0363,0.00016659551581107827,0.005864744905393208,8.219792287434206e-08,3.44001931567543e-06,0.005698149389582276,2.5966727926881046e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
35,post_drift,cp,0.00125,0.9913,0.005728979346055172,0.0393,0.00017057359146618702,0.005899552937521221,8.401105997209473e-08,3.455651537435406e-06,0.005728979346055172,2.5980829942929545e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
36,post_drift,cp,0.0012727272727272728,0.9901,0.005726040065139176,0.0384,0.00017118806149014621,0.00589722812662919,8.684435034281777e-08,3.4887950256972034e-06,0.005726040065139176,2.616708158199036e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
37,post_drift,cp,0.0012954545454545454,0.99,0.005783128747909953,0.0417,0.00017989246228026893,0.0059630212101900735,9.115304972012826e-08,3.5475744431883347e-06,0.005783128747909953,2.6415162589629515e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
38,post_drift,cp,0.0013181818181818182,0.989,0.005835825732945287,0.0457,0.00018893838274943272,0.006024764115694549,9.663667028918871e-08,3.628358171825254e-06,0.005835825732945287,2.68409647613521e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
39,post_drift,cp,0.001340909090909091,0.9865,0.00587062203710821,0.0484,0.000195705871427522,0.006066327908535558,1.0289064278760929e-07,3.7057723316936207e-06,0.00587062203710821,2.722653614814113e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
40,post_drift,cp,0.0013636363636363637,0.989,0.005878988093864679,0.0452,0.00019336406159111203,0.006072352155455623,9.659636166191732e-08,3.606260414888776e-06,0.005878988093864679,2.6657818717575667e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
41,post_drift,cp,0.0013863636363636365,0.9863,0.00590393095322342,0.0519,0.00019869444558373405,0.006102625398806964,1.0335761270308998e-07,3.672632854529301e-06,0.00590393095322342,2.6886424817940225e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
42,post_drift,cp,0.001409090909090909,0.9817,0.005939904308842546,0.0561,0.00021126865064739856,0.006151172959489757,1.2008849769373741e-07,3.907949868218384e-06,0.005939904308842546,2.8169808690471664e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
43,post_drift,cp,0.0014318181818181819,0.9845,0.005987062200108855,0.0565,0.00021464356376147946,0.006201705763870136,1.1665375327194626e-07,3.820860680814e-06,0.005987062200108855,2.7540928588656107e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
44,post_drift,cp,0.0014545454545454545,0.983,0.006006012967539155,0.0591,0.00022141127275474015,0.0062274242402936926,1.2081816002796486e-07,3.932338521708877e-06,0.006006012967539155,2.82872877581075e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
45,post_drift,cp,0.0014772727272727272,0.9823,0.006041805893987465,0.0629,0.00022806804533049606,0.006269873939317758,1.251152797300762e-07,3.981064949308892e-06,0.006041805893987465,2.8503087193577846e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
46,post_drift,cp,0.0015,0.9857,0.006050736901545053,0.0645,0.0002267704836359492,0.006277507385180789,1.1750017395555737e-07,3.895877168933581e-06,0.006050736901545053,2.8056243803739598e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
47,post_drift,cp,0.0015227272727272728,0.9807,0.006084557384165025,0.0674,0.00023619121424141662,0.006320748598406238,1.3249528740804902e-07,4.043640126025762e-06,0.006084557384165025,2.8707875998347274e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
48,post_drift,cp,0.0015454545454545456,0.9789,0.006132220143170734,0.0708,0.0002426691658093798,0.0063748893089798885,1.3048231814733133e-07,4.018413573460886e-06,0.006132220143170734,2.851441646991768e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
